# generated by run.sh -- do not hand-edit
# date: 2026-09-10T22:07:12Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 10  benchtime: 200ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/refcontainers
cpu: QEMU Virtual CPU version 2.5+
BenchmarkViewShape/Has/iface-23                     	46693215	         4.814 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewShape/Has/iface-23                     	48967269	         4.815 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewShape/Has/iface-23                     	49568946	         4.804 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewShape/Has/iface-23                     	43950682	         4.930 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewShape/Has/iface-23                     	48533028	         4.807 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewShape/Has/iface-23                     	50109175	         4.848 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewShape/Has/iface-23                     	50166259	         4.814 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewShape/Has/iface-23                     	49622845	         4.834 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewShape/Has/iface-23                     	48787467	         4.912 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewShape/Has/struct-23                    	54883762	         4.252 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewShape/Has/struct-23                    	52556869	         4.277 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewShape/Has/struct-23                    	56386512	         4.269 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewShape/Has/struct-23                    	56526861	         4.193 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewShape/Has/struct-23                    	54958190	         4.263 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewShape/Has/struct-23                    	55673604	         4.274 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewShape/Has/struct-23                    	57274110	         4.188 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewShape/Has/struct-23                    	53131562	         4.189 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewShape/Has/struct-23                    	54615224	         4.276 ns/op	       0 B/op	       0 allocs/op
BenchmarkViewShape/Has/struct-23                    	55672170	         4.269 ns/op	       0 B/op	       0 allocs/op
