# generated by run.sh -- do not hand-edit
# date: 2026-09-06T04:05:51Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 10  benchtime: 100ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/sortedsetbacking
cpu: QEMU Virtual CPU version 2.5+
BenchmarkLookup/vfirst/262144-23  	 4644516	        25.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookup/vfirst/262144-23  	 4764380	        25.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/bare/64-23       	 1540706	        77.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/bare/64-23       	 1572043	        75.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/bare/64-23       	 1536112	        78.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/bare/64-23       	 1546270	        77.59 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/bare/64-23       	 1580949	        75.93 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/bare/64-23       	 1557384	        77.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/bare/64-23       	 1536445	        78.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/bare/64-23       	 1584771	        75.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/bare/64-23       	 1552296	        77.39 ns/op	       0 B/op	       0 allocs/op
