# generated by run.sh -- do not hand-edit
# date: 2026-09-06T02:55:40Z
# go: go version go1.26.7 linux/amd64
# cpu-model: QEMU Virtual CPU version 2.5+
# nproc: 23
# virt: unknown
# count: 10  benchtime: 200ms
#
# NOTE: absolute timings are machine-specific and understate memory
# bandwidth under virtualization. Ratios between benchmarks are the
# durable result; re-run on target hardware before citing absolutes.

goos: linux
goarch: amd64
pkg: github.com/krelinga/go-containers/experiments/sortedbacking
cpu: QEMU Virtual CPU version 2.5+
BenchmarkBuildSequential/btree/64-23    	  135861	      1827 ns/op	        28.55 ns/insert	    6304 B/op	      18 allocs/op
BenchmarkBuildSequential/slice/512-23   	   30050	      7987 ns/op	        15.60 ns/insert	   13592 B/op	       2 allocs/op
BenchmarkBuildSequential/slice/512-23   	   29480	      8095 ns/op	        15.81 ns/insert	   13592 B/op	       2 allocs/op
BenchmarkBuildSequential/slice/512-23   	   29900	      7928 ns/op	        15.48 ns/insert	   13592 B/op	       2 allocs/op
BenchmarkBuildSequential/slice/512-23   	   29739	      8087 ns/op	        15.80 ns/insert	   13592 B/op	       2 allocs/op
BenchmarkBuildSequential/slice/512-23   	   30242	      7931 ns/op	        15.49 ns/insert	   13592 B/op	       2 allocs/op
BenchmarkBuildSequential/slice/512-23   	   29559	      8104 ns/op	        15.83 ns/insert	   13592 B/op	       2 allocs/op
BenchmarkBuildSequential/slice/512-23   	   29966	      7897 ns/op	        15.42 ns/insert	   13592 B/op	       2 allocs/op
BenchmarkBuildSequential/slice/512-23   	   31066	      7894 ns/op	        15.42 ns/insert	   13592 B/op	       2 allocs/op
BenchmarkBuildSequential/slice/512-23   	   29612	      8052 ns/op	        15.73 ns/insert	   13592 B/op	       2 allocs/op
BenchmarkBuildSequential/slice/512-23   	   30176	      8048 ns/op	        15.72 ns/insert	   13592 B/op	       2 allocs/op
BenchmarkBuildSequential/btree/512-23   	   13959	     17311 ns/op	        33.81 ns/insert	   40400 B/op	      67 allocs/op
